test_date,s3_minus_small,s3_minus_e2,s3_minus_base,mature_minus_s3
2026-08-16,0.000049,-0.000003,-0.000401,0.000375
2026-08-17,0.00008,0.000042,-0.000337,0.000271
2026-08-18,0.000275,0.00021,-0.000259,0.000321
2026-08-19,0.000248,0.000181,-0.000281,0.000395
2026-08-20,0.000294,0.000247,-0.000169,0.000308
