chain_start,model_id,train_date,test_date,training_day,dense_start,auc,copc,base_auc,auc_gap_vs_base,auc_gap_bp,is_baseline,status,source_count,canonical_source,canonical_sheet,auc_cell,copc_cell,base_auc_cell,sources_json
2026-07-01,base(bn-senet-dcnm),2026-07-11,2026-07-12,11,warm,0.869039,0.997258,0.869039,0.0,0.0,True,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,B36,C36,B36,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B36"",""copc_cell"":""C36"",""base_auc_cell"":""B36"",""test_date_cell"":""A36"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B36"",""copc_cell"":""C36"",""base_auc_cell"":""B36"",""test_date_cell"":""A36"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B36"",""copc_cell"":""C36"",""base_auc_cell"":""B36"",""test_date_cell"":""A36"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""}]"
2026-07-01,base(bn-senet-dcnm),2026-07-12,2026-07-13,12,warm,0.869139,0.996504,0.869139,0.0,0.0,True,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,B37,C37,B37,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B37"",""copc_cell"":""C37"",""base_auc_cell"":""B37"",""test_date_cell"":""A37"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B37"",""copc_cell"":""C37"",""base_auc_cell"":""B37"",""test_date_cell"":""A37"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B37"",""copc_cell"":""C37"",""base_auc_cell"":""B37"",""test_date_cell"":""A37"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""}]"
2026-07-01,base(bn-senet-dcnm),2026-07-13,2026-07-14,13,warm,0.869355,1.006872,0.869355,0.0,0.0,True,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,B38,C38,B38,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B38"",""copc_cell"":""C38"",""base_auc_cell"":""B38"",""test_date_cell"":""A38"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B38"",""copc_cell"":""C38"",""base_auc_cell"":""B38"",""test_date_cell"":""A38"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B38"",""copc_cell"":""C38"",""base_auc_cell"":""B38"",""test_date_cell"":""A38"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""}]"
2026-07-01,base(bn-senet-dcnm),2026-07-14,2026-07-15,14,warm,0.869151,0.993542,0.869151,0.0,0.0,True,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,B39,C39,B39,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B39"",""copc_cell"":""C39"",""base_auc_cell"":""B39"",""test_date_cell"":""A39"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B39"",""copc_cell"":""C39"",""base_auc_cell"":""B39"",""test_date_cell"":""A39"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B39"",""copc_cell"":""C39"",""base_auc_cell"":""B39"",""test_date_cell"":""A39"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""}]"
2026-07-01,base(bn-senet-dcnm),2026-07-15,2026-07-16,15,warm,0.869715,0.999701,0.869715,0.0,0.0,True,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,B40,C40,B40,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B40"",""copc_cell"":""C40"",""base_auc_cell"":""B40"",""test_date_cell"":""A40"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B40"",""copc_cell"":""C40"",""base_auc_cell"":""B40"",""test_date_cell"":""A40"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""B40"",""copc_cell"":""C40"",""base_auc_cell"":""B40"",""test_date_cell"":""A40"",""model_header_cell"":""B23"",""metadata_cell"":""B24"",""metadata_raw"":""90M/0.1809GFLOPs""}]"
2026-07-01,bn_rankmixer_v1,2026-07-01,2026-07-02,1,cold,0.862033,0.987065,0.864538,-0.002505,-25.05,False,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,G26,H26,B26,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G26"",""copc_cell"":""H26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I26"",""reported_gap_value"":-0.0025049999999999795,""reported_gap_formula"":""=G26-B26""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G26"",""copc_cell"":""H26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I26"",""reported_gap_value"":-0.0025049999999999795,""reported_gap_formula"":""=G26-B26""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G26"",""copc_cell"":""H26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I26"",""reported_gap_value"":-0.0025049999999999795,""reported_gap_formula"":""=G26-B26""}]"
2026-07-01,bn_rankmixer_v1,2026-07-02,2026-07-03,2,warm,0.86285,0.984521,0.865633,-0.002783,-27.83,False,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,G27,H27,B27,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G27"",""copc_cell"":""H27"",""base_auc_cell"":""B27"",""test_date_cell"":""A27"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I27"",""reported_gap_value"":-0.00278299999999998,""reported_gap_formula"":""=G27-B27""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G27"",""copc_cell"":""H27"",""base_auc_cell"":""B27"",""test_date_cell"":""A27"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I27"",""reported_gap_value"":-0.00278299999999998,""reported_gap_formula"":""=G27-B27""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G27"",""copc_cell"":""H27"",""base_auc_cell"":""B27"",""test_date_cell"":""A27"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I27"",""reported_gap_value"":-0.00278299999999998,""reported_gap_formula"":""=G27-B27""}]"
2026-07-01,bn_rankmixer_v1,2026-07-03,2026-07-04,3,warm,0.864362,1.017144,0.86706,-0.002698,-26.98,False,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,G28,H28,B28,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G28"",""copc_cell"":""H28"",""base_auc_cell"":""B28"",""test_date_cell"":""A28"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I28"",""reported_gap_value"":-0.002698000000000089,""reported_gap_formula"":""=G28-B28""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G28"",""copc_cell"":""H28"",""base_auc_cell"":""B28"",""test_date_cell"":""A28"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I28"",""reported_gap_value"":-0.002698000000000089,""reported_gap_formula"":""=G28-B28""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G28"",""copc_cell"":""H28"",""base_auc_cell"":""B28"",""test_date_cell"":""A28"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I28"",""reported_gap_value"":-0.002698000000000089,""reported_gap_formula"":""=G28-B28""}]"
2026-07-01,bn_rankmixer_v1,2026-07-04,2026-07-05,4,warm,0.863436,1.000928,0.866114,-0.002678,-26.78,False,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,G29,H29,B29,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G29"",""copc_cell"":""H29"",""base_auc_cell"":""B29"",""test_date_cell"":""A29"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I29"",""reported_gap_value"":-0.002678000000000069,""reported_gap_formula"":""=G29-B29""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G29"",""copc_cell"":""H29"",""base_auc_cell"":""B29"",""test_date_cell"":""A29"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I29"",""reported_gap_value"":-0.002678000000000069,""reported_gap_formula"":""=G29-B29""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""G29"",""copc_cell"":""H29"",""base_auc_cell"":""B29"",""test_date_cell"":""A29"",""model_header_cell"":""G23"",""metadata_cell"":""G24"",""metadata_raw"":null,""reported_gap_cell"":""I29"",""reported_gap_value"":-0.002678000000000069,""reported_gap_formula"":""=G29-B29""}]"
2026-07-01,bn_rankmixer_v2,2026-07-01,2026-07-02,1,cold,0.86269,1.015013,0.864538,-0.001848,-18.48,False,observed,3,docs/experiments/RankMixer-汇总-0909.xlsx,Sheet1,J26,K26,B26,"[{""source"":""docs/experiments/RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""J26"",""copc_cell"":""K26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""J23"",""metadata_cell"":""J24"",""metadata_raw"":null,""reported_gap_cell"":""L26"",""reported_gap_value"":-0.0018480000000000718,""reported_gap_formula"":""=J26-B26""},{""source"":""docs/experiments/副本RankMixer-汇总-0909.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""J26"",""copc_cell"":""K26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""J23"",""metadata_cell"":""J24"",""metadata_raw"":null,""reported_gap_cell"":""L26"",""reported_gap_value"":-0.0018480000000000718,""reported_gap_formula"":""=J26-B26""},{""source"":""docs/experiments/RankMixer-汇总.xlsx"",""sheet"":""Sheet1"",""auc_cell"":""J26"",""copc_cell"":""K26"",""base_auc_cell"":""B26"",""test_date_cell"":""A26"",""model_header_cell"":""J23"",""metadata_cell"":""J24"",""metadata_raw"":null,""reported_gap_cell"":""L26"",""reported_gap_value"":-0.0018480000000000718,""reported_gap_formula"":""=J26-B26""}]"
